,bd_rate
4x4-1-8x8-1,0.22857518178780456
4x4-1-8x8-2,0.22857518178780456
4x4-1-8x8-3,0.22857518178780456
4x4-1-8x8-SAD,0.2807503801183442
4x4-2-8x8-4,0.22857518178780456
4x4-3-8x8-SAD,0.30734599531978546
4x4-3,0.07514267155408483
8x8-1,0.11328337166114366
8x8-2,0.14631861010723224
8x8-3,0.1843546737095192
8x8-SAD,0.3166962302229681
4x4-1-8x8-1,0.6757458322533161
4x4-1-8x8-2,0.6757458322533161
4x4-1-8x8-3,0.6757458322533161
4x4-1-8x8-SAD,0.6250344881566727
4x4-2-8x8-4,0.6757458322533161
4x4-3-8x8-SAD,0.943194148096338
4x4-3,0.03745345694539104
8x8-1,0.3297543346001186
8x8-2,0.4185083261345257
8x8-3,0.38461689496385176
8x8-SAD,0.7599993242747294
4x4-1-8x8-1,0.8903575956562104
4x4-1-8x8-3,0.8903575956562104
4x4-1-8x8-SAD,0.9490527654035796
4x4-3-8x8-SAD,1.0084789379187775
4x4-3,0.18841442644004225
8x8-1,0.49891342349943635
8x8-2,0.5384830697119591
8x8-3,0.7205939457747945
8x8-SAD,0.9779470440043347
